url,label
wild.nhl.com/club/page.htm?id=64529,good
torontohockey.net/hockey-schools/alain-lemieux-s-mini-hockey-development-camp-london.html,good
yasas.com/videos/greek-videos-details.asp?id=5,good
canadawideflowers.ca/,good
wn.com/Eugene_Oregon_Mixed_Martial_Arts,good
section15.ca/features/people/2001/05/09/cairine_wilson/,good
teamico-aboywithhorns.blogspot.com/,good
www.centexbel.be/Eng/lexicon_frame.htm,good
store.meniketti.com/,good
www.informatik.uni-trier.de/~ley/db/conf/splc/,good
redtube.com/8080,good
daryltdixonlaw.com/feed.cfm,good
cairp.ca/about/board-of-directors/index.php,good
www.adobe.com/aboutadobe/careeropp/college/internships.html,good
youtube.com/watch?v=kx4MvFbJdXA,good
bmxsociety.com/topic/50822-patterson-factory-bike-pictures/page__st__40,good
lyricsmode.com/lyrics/0-9/3x_krazy/,good
imdb.com/name/nm0523415/,good
wral.com/specialreports/michelleyoung/story/9920227/,good
myballard.com/forum/topic.php?id=3273,good
hiphopgossips.com/ellen-page-and-drew-barrymore-kiss-on-marie-claire,good
jigsaw.com/scid12733451/marcus_n_foster.xhtml,good
objectofvertu.com/,good
audiokinetic.com/,good
caad.msstate.edu/wpmu/abourgeois/,good
linkedin.com/in/weatherguru,good
tv.com/people/selma-diamond/,good
tools.ietf.org/html/rfc857,good
biography.com/people/kate-spade-214145,good
bc.sympatico.ca/public/dgarneau/metis12.htm,good
facebook.com/people/Tim-Fleiszer/523770742,good
fire-as-she-bears.com/tag/zerrin-dogan,good
familytreemaker.genealogy.com/users/g/r/o/Robert-Groves/WEBSITE-0001/UHP-0037.html,good
blogs.denverpost.com/broncos/2010/01/04/broncos-2010-schedule/2170/,good
myspace.com/brushhog69,good
schmap.com/montreal/montrealhippodrome/,good
www.wunderland.com/LooneyLabs/Proton/,good
specialistmats.co.uk/,good
en.wikipedia.org/wiki/Tim_Rozon,good
author-me.com/fict02/angrychair.htm,good
en.wikipedia.org/wiki/Showboat_Atlantic_City,good
9rank.com/hymer.dk,good
froment.foodpages.ca/,good
archive.org/stream/registerofgradua00ohiorich/registerofgradua00ohiorich_djvu.txt,good
linkedin.com/in/erikapassos,good
spoke.com/info/pz63BV/TimWolfred,good
