phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
6750416,https://webmail-canl-nc.wixsite.com/website,http://www.phishtank.com/phish_detail.php?phish_id=6750416,2020-08-31T23:43:40+00:00,yes,2020-09-10T08:59:00+00:00,yes,Other
6750388,https://www.zonabetabcponline.com/iniciar-sesion,http://www.phishtank.com/phish_detail.php?phish_id=6750388,2020-08-31T22:31:45+00:00,yes,2020-08-31T22:33:20+00:00,yes,Other
6750336,http://acces-ing-cliente-iid55454.u1137972.cp.regruhosting.ru/ing-login/account,http://www.phishtank.com/phish_detail.php?phish_id=6750336,2020-08-31T20:00:25+00:00,yes,2020-08-31T20:02:19+00:00,yes,Other
6750131,http://usid-4548.mixh.jp/,http://www.phishtank.com/phish_detail.php?phish_id=6750131,2020-08-31T14:30:45+00:00,yes,2020-09-13T04:47:08+00:00,yes,Amazon.com
6750110,http://review01-supportapple.xyxxon.com/,http://www.phishtank.com/phish_detail.php?phish_id=6750110,2020-08-31T14:03:43+00:00,yes,2020-08-31T14:13:04+00:00,yes,Other
6750091,https://urlz.fr/dHXo,http://www.phishtank.com/phish_detail.php?phish_id=6750091,2020-08-31T14:02:33+00:00,yes,2020-08-31T14:09:38+00:00,yes,Other
6750089,https://smsconsultancy.co.in/surf3.php?cmd=login_submit&amp;id=06f15dec60982c92915e041a2efe39e106f15dec60982c92915e041a2efe39e1&amp;session=06f15dec60982c92915e041a2efe39e106f15dec60982c92915e041a2efe39e1,http://www.phishtank.com/phish_detail.php?phish_id=6750089,2020-08-31T14:02:25+00:00,yes,2020-08-31T14:09:04+00:00,yes,Other
6750057,http://da822325-313f-4f85-b334-d9b00a2d64da.htmlcomponentservice.com/get_draft?id=da8223_943e1deadfc8b224198f3740580b37aa.html,http://www.phishtank.com/phish_detail.php?phish_id=6750057,2020-08-31T14:00:31+00:00,yes,2020-08-31T14:03:19+00:00,yes,Other
6749958,http://mpjobadda.com/ACO%202/Controller/,http://www.phishtank.com/phish_detail.php?phish_id=6749958,2020-08-31T09:46:39+00:00,yes,2020-08-31T09:55:10+00:00,yes,Other
6749957,http://mpjobadda.com/ACO%202/Controller,http://www.phishtank.com/phish_detail.php?phish_id=6749957,2020-08-31T09:46:38+00:00,yes,2020-08-31T09:55:10+00:00,yes,Other
6749953,http://ht.ly/D7Y130r7aZR,http://www.phishtank.com/phish_detail.php?phish_id=6749953,2020-08-31T09:46:15+00:00,yes,2020-08-31T09:54:36+00:00,yes,Other
6749950,http://9dollarsintothousands.com/wp-includes/Text/Diff/Engine/wp-content/Login.htm,http://www.phishtank.com/phish_detail.php?phish_id=6749950,2020-08-31T09:45:52+00:00,yes,2020-08-31T09:54:36+00:00,yes,Other
6749945,https://ciupekcapitalcoin.com/wp-admin//includes/login/,http://www.phishtank.com/phish_detail.php?phish_id=6749945,2020-08-31T09:24:31+00:00,yes,2020-09-02T14:13:27+00:00,yes,Other
